"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Curaleaf","CURLF","4829253120","6.67","United States"
"2","Green Thumb Industries","GTII.CN","3038163404","12.85","United States"
"3","Trulieve Cannabis","TRUL.CN","2425120830","13.05","United States"
"4","Tilray","TLRY","2231617280","3.65","Canada"
"5","Verano Holdings","VRNOF","1693880576","5.22","United States"
"6","Canopy Growth","CGC","1652172160","3.4","Canada"
"7","Cronos Group","CRON","1140540160","3.01","Canada"
"8","Cresco Labs","CRLBF","984800832","3.33","United States"
"9","Columbia Care","CCHWF","714840000","1.75","United States"
"10","Cara Therapeutics","CARA","598054976","11.13","United States"
"11","Sundial Growers","SNDL","594720000","2.52","Canada"
"12","TerrAscend","TRSSF","586935744","1.89","Canada"
"13","Aurora Cannabis","ACB","406576160","1.24","Canada"
"14","GrowGeneration","GRWG","338765792","5.56","United States"
"15","OrganiGram Holdings","OGI","310570912","0.99","Canada"
"16","Planet13","PLTH.CN","297118719","1.35","United States"
"17","22nd Century Group","XXII","241138240","1.12","United States"
"18","WM Technology","MAPS","220971968","1.23","United States"
"19","InterCure","INCR","216470320","4.75","Israel"
"20","Ayr Wellness","AYRWF","194391072","2.8","United States"
"21","Village Farms International","VFF","180797072","1.99","Canada"
"22","MariMed","MRMD","169676496","0.5","United States"
"23","High Tide","HITI","127238104","1.81","Canada"
"24","Hydrofarm","HYFM","107957264","2.39","United States"
"25","HEXO","HEXO","100965992","0.17","Canada"
"26","Charlotte's Web","CWEB.TO","87672801","0.58","United States"
"27","Neptune Wellness Solutions","NEPT","9258960","0.8","Canada"
"28","Agrify","AGFY","9053887","1.02","United States"
"29","Greenlane","GNLN","7799027","0.49","United States"
"30","Akanda","AKAN","7549495","0.22","United Kingdom"
"31","Akerna","KERN","3866816","0.87","United States"
